4377623|secondary_link|Kuģu iela|50|Y|1|2002|3059|1|2|1|/505845.76|311054.13|505844.60|311060.71|505843.73|311065.38|505842.81|311072.34|505843.92|311081.01|505846.29|311088.85|505849.78|311095.80|505854.27|311101.81|505859.65|311106.84|505866.59|311111.23|505874.33|311114.25|505880.98|311116.11|505887.23|311117.30|505896.49|311116.88|505907.34|311115.62|/
4377627|secondary|Mūkusalas iela|50|Y|2|2002|3059|1|2|1|/506000.02|310763.56|506003.60|310756.00|506004.88|310753.86|506008.21|310748.31|506009.84|310744.67|/
4377631|trunk_link|Kārļa Ulmaņa gatve|50|Y|1|2002|3059|1|2|1|/506449.66|309022.58|506442.19|309004.04|506433.32|308976.87|506427.21|308966.14|/
4377632|tertiary|Bauskas iela||N|3|2002|3059|1|2|1|/505943.00|308508.14|505957.05|308476.52|/
4377633|tertiary_link|Kārļa Ulmaņa gatve||Y|2|2002|3059|1|2|1|/506135.98|308636.57|506099.36|308614.89|506081.57|308606.03|506039.01|308584.07|/
4377636|tertiary|Valdeķu iela||Y||2002|3059|1|2|1|/505899.67|307943.61|505903.02|307959.58|/
4377638|secondary|Vienības gatve|50|N|2|2002|3059|1|2|1|/505947.13|310180.15|505943.38|310175.93|505939.96|310171.81|505910.81|310138.56|505879.40|310102.73|505863.85|310084.70|505850.43|310068.91|505836.73|310052.77|505785.47|309993.33|505780.17|309987.15|505779.12|309985.87|505775.58|309981.57|/
4378193|secondary|Trijādības iela|50|N|2|2002|3059|1|2|1|/505399.34|311043.56|505458.83|311089.55|505469.01|311100.96|505481.76|311115.85|505526.95|311151.69|505531.40|311155.21|505560.11|311177.69|505579.58|311193.61|505599.67|311209.85|505642.30|311244.27|505649.80|311250.04|505662.88|311260.14|505672.98|311262.80|/
4389323|secondary|Uzvaras bulvāris|50|Y|2|2002|3059|1|2|1|/505934.84|311039.72|505872.66|310984.99|505813.76|310930.64|505791.91|310909.16|505772.72|310890.29|505749.44|310872.78|/
4389895|tertiary|Nometņu iela|50|N|2|2002|3059|1|2|1|/504376.22|310447.94|504352.07|310405.54|504344.06|310391.48|504335.74|310374.66|504332.85|310364.43|504328.63|310345.18|504322.41|310319.97|504319.19|310298.85|504316.85|310284.85|504315.59|310273.69|504315.49|310267.02|504316.68|310255.11|504320.61|310229.65|504322.52|310215.87|504322.72|310214.29|/
4389896|residential|Lapu iela|30|N||2002|3059|1|2|1|/504645.48|310507.78|504638.70|310509.99|504592.21|310530.80|504579.58|310535.60|504565.80|310539.33|504530.36|310544.10|504511.95|310547.64|504496.50|310551.73|504478.94|310555.94|504465.03|310561.34|504443.43|310571.64|504438.95|310573.48|504434.72|310574.92|/
4389897|tertiary|Vīlipa iela|50|N|2|2002|3059|1|2|1|/503834.04|311411.71|503829.49|311417.35|503813.15|311434.94|503798.13|311447.61|503787.00|311456.50|503768.94|311470.09|503762.11|311474.80|503738.16|311491.38|/
4389901|tertiary|Slokas iela|50|Y|1|2002|3059|1|2|1|/503780.20|312604.69|503780.73|312607.81|503782.27|312613.48|503768.83|312641.84|/
